0 1 2 
0 1 3 
0 1 4 
0 1 5 
0 2 3 
0 2 4 
0 2 5 
0 3 4 
0 3 5 
0 4 5 
1 2 3 
1 2 4 
1 2 5 
1 2 6 
1 3 4 
1 3 5 
1 3 6 
1 4 5 
1 4 6 
1 5 6 
2 3 4 
2 3 5 
2 3 6 
2 3 7 
2 4 5 
2 4 6 
2 4 7 
2 5 6 
2 5 7 
2 6 7 
3 4 5 
3 4 6 
3 4 7 
3 4 8 
3 5 6 
3 5 7 
3 5 8 
3 6 7 
3 6 8 
3 7 8 
4 5 6 
4 5 7 
4 5 8 
4 5 9 
4 6 7 
4 6 8 
4 6 9 
4 7 8 
4 7 9 
4 8 9 
5 6 7 
5 6 8 
5 6 9 
5 6 10 
5 7 8 
5 7 9 
5 7 10 
5 8 9 
5 8 10 
5 9 10 
6 7 8 
6 7 9 
6 7 10 
6 7 11 
6 8 9 
6 8 10 
6 8 11 
6 9 10 
6 9 11 
6 10 11 
7 8 9 
7 8 10 
7 8 11 
7 8 12 
7 9 10 
7 9 11 
7 9 12 
7 10 11 
7 10 12 
7 11 12 
8 9 10 
8 9 11 
8 9 12 
8 9 13 
8 10 11 
8 10 12 
8 10 13 
8 11 12 
8 11 13 
8 12 13 
9 10 11 
9 10 12 
9 10 13 
9 10 14 
9 11 12 
9 11 13 
9 11 14 
9 12 13 
9 12 14 
9 13 14 
10 11 12 
10 11 13 
10 11 14 
10 11 15 
10 12 13 
10 12 14 
10 12 15 
10 13 14 
10 13 15 
10 14 15 
11 12 13 
11 12 14 
11 12 15 
11 13 14 
11 13 15 
11 14 15 
12 13 14 
12 13 15 
12 14 15 
13 14 15 
0 1 6 
0 2 6 
0 3 6 
0 4 6 
0 5 6 
