0 1 2 3 
0 1 2 4 
0 1 2 5 
0 1 3 4 
0 1 3 5 
0 1 4 5 
0 2 3 4 
0 2 3 5 
0 2 4 5 
0 3 4 5 
1 2 3 4 
1 2 3 5 
1 2 3 6 
1 2 4 5 
1 2 4 6 
1 2 5 6 
1 3 4 5 
1 3 4 6 
1 3 5 6 
1 4 5 6 
2 3 4 5 
2 3 4 6 
2 3 4 7 
2 3 5 6 
2 3 5 7 
2 3 6 7 
2 4 5 6 
2 4 5 7 
2 4 6 7 
2 5 6 7 
3 4 5 6 
3 4 5 7 
3 4 5 8 
3 4 6 7 
3 4 6 8 
3 4 7 8 
3 5 6 7 
3 5 6 8 
3 5 7 8 
3 6 7 8 
4 5 6 7 
4 5 6 8 
4 5 6 9 
4 5 7 8 
4 5 7 9 
4 5 8 9 
4 6 7 8 
4 6 7 9 
4 6 8 9 
4 7 8 9 
5 6 7 8 
5 6 7 9 
5 6 7 10 
5 6 8 9 
5 6 8 10 
5 6 9 10 
5 7 8 9 
5 7 8 10 
5 7 9 10 
5 8 9 10 
6 7 8 9 
6 7 8 10 
6 7 8 11 
6 7 9 10 
6 7 9 11 
6 7 10 11 
6 8 9 10 
6 8 9 11 
6 8 10 11 
6 9 10 11 
7 8 9 10 
7 8 9 11 
7 8 9 12 
7 8 10 11 
7 8 10 12 
7 8 11 12 
7 9 10 11 
7 9 10 12 
7 9 11 12 
7 10 11 12 
8 9 10 11 
8 9 10 12 
8 9 10 13 
8 9 11 12 
8 9 11 13 
8 9 12 13 
8 10 11 12 
8 10 11 13 
8 10 12 13 
8 11 12 13 
9 10 11 12 
9 10 11 13 
9 10 11 14 
9 10 12 13 
9 10 12 14 
9 10 13 14 
9 11 12 13 
9 11 12 14 
9 11 13 14 
9 12 13 14 
10 11 12 13 
10 11 12 14 
10 11 12 15 
10 11 13 14 
10 11 13 15 
10 11 14 15 
10 12 13 14 
10 12 13 15 
10 12 14 15 
10 13 14 15 
11 12 13 14 
11 12 13 15 
11 12 14 15 
11 13 14 15 
12 13 14 15 
0 1 2 6 
0 1 3 6 
0 1 4 6 
0 1 5 6 
0 2 3 6 
0 2 4 6 
0 2 5 6 
0 3 4 6 
0 3 5 6 
0 4 5 6 
